team_name, image_src
Purdue Boilermakers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png&scale=crop&cquality=40&location=origin&w=80&h=80
Rutgers Scarlet Knights, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/164.png&scale=crop&cquality=40&location=origin&w=80&h=80
UCLA Bruins, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/26.png&scale=crop&cquality=40&location=origin&w=80&h=80
USC Trojans, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png&scale=crop&cquality=40&location=origin&w=80&h=80
Washington Huskies, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/264.png&scale=crop&cquality=40&location=origin&w=80&h=80
Wisconsin Badgers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&scale=crop&cquality=40&location=origin&w=80&h=80
Florida International Panthers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2229.png&scale=crop&cquality=40&location=origin&w=80&h=80
Jacksonville State Gamecocks, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/55.png&scale=crop&cquality=40&location=origin&w=80&h=80
Kennesaw State Owls, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/338.png&scale=crop&cquality=40&location=origin&w=80&h=80
Liberty Flames, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2335.png&scale=crop&cquality=40&location=origin&w=80&h=80
Louisiana Tech Bulldogs, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2348.png&scale=crop&cquality=40&location=origin&w=80&h=80
Middle Tennessee Blue Raiders, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2393.png&scale=crop&cquality=40&location=origin&w=80&h=80
New Mexico State Aggies, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/166.png&scale=crop&cquality=40&location=origin&w=80&h=80
Sam Houston Bearkats, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2534.png&scale=crop&cquality=40&location=origin&w=80&h=80
UTEP Miners, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2638.png&scale=crop&cquality=40&location=origin&w=80&h=80
Western Kentucky Hilltoppers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/98.png&scale=crop&cquality=40&location=origin&w=80&h=80
Massachusetts Minutemen, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/113.png&scale=crop&cquality=40&location=origin&w=80&h=80
Notre Dame Fighting Irish, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&scale=crop&cquality=40&location=origin&w=80&h=80
UConn Huskies, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png&scale=crop&cquality=40&location=origin&w=80&h=80
Akron Zips, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2006.png&scale=crop&cquality=40&location=origin&w=80&h=80
Ball State Cardinals, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2050.png&scale=crop&cquality=40&location=origin&w=80&h=80
Bowling Green Falcons, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/189.png&scale=crop&cquality=40&location=origin&w=80&h=80
Buffalo Bulls, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2084.png&scale=crop&cquality=40&location=origin&w=80&h=80
Central Michigan Chippewas, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2117.png&scale=crop&cquality=40&location=origin&w=80&h=80
Eastern Michigan Eagles, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2199.png&scale=crop&cquality=40&location=origin&w=80&h=80
Kent State Golden Flashes, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2309.png&scale=crop&cquality=40&location=origin&w=80&h=80
Miami (OH) RedHawks, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/193.png&scale=crop&cquality=40&location=origin&w=80&h=80
Northern Illinois Huskies, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2459.png&scale=crop&cquality=40&location=origin&w=80&h=80
Ohio Bobcats, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/195.png&scale=crop&cquality=40&location=origin&w=80&h=80
Toledo Rockets, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2649.png&scale=crop&cquality=40&location=origin&w=80&h=80
Western Michigan Broncos, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2711.png&scale=crop&cquality=40&location=origin&w=80&h=80
Air Force Falcons, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2005.png&scale=crop&cquality=40&location=origin&w=80&h=80
Boise State Broncos, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/68.png&scale=crop&cquality=40&location=origin&w=80&h=80
Colorado State Rams, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/36.png&scale=crop&cquality=40&location=origin&w=80&h=80
Fresno State Bulldogs, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/278.png&scale=crop&cquality=40&location=origin&w=80&h=80
Hawaii Rainbow Warriors, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/62.png&scale=crop&cquality=40&location=origin&w=80&h=80
